"Genotype","Year","Experiment","Dpi","Phenotype"
457008,2015,1,7,3.625
457009,2015,1,7,2.875
457010,2015,1,7,4.666666667
457011,2015,1,7,3.714285714
457012,2015,1,7,4.5
457013,2015,1,7,3.75
457014,2015,1,7,3.857142857
457015,2015,1,7,3.25
457017,2015,1,7,3.5
457018,2015,1,7,2.625
457019,2015,1,7,3
457020,2015,1,7,4.714285714
457021,2015,1,7,2.285714286
457022,2015,1,7,2.875
457023,2015,1,7,4.375
457024,2015,1,7,2.875
457025,2015,1,7,3.857142857
457026,2015,1,7,2.5
457027,2015,1,7,4
457028,2015,1,7,3.125
457029,2015,1,7,4.5
457030,2015,1,7,1.125
457032,2015,1,7,4.25
457033,2015,1,7,1.285714286
457034,2015,1,7,4
457035,2015,1,7,1.75
457036,2015,1,7,5
457037,2015,1,7,2.625
457038,2015,1,7,4.375
457039,2015,1,7,3.625
457040,2015,1,7,5
457041,2015,1,7,4.125
457042,2015,1,7,2.428571429
457043,2015,1,7,4.75
457044,2015,1,7,4.714285714
457045,2015,1,7,4.75
457051,2015,1,7,3.125
457052,2015,1,7,3.5
457053,2015,1,7,2.25
457055,2015,1,7,2.75
457056,2015,1,7,1
457057,2015,1,7,3.25
457058,2015,1,7,3.714285714
457059,2015,1,7,1.125
455096,2015,2,4,1.333333333
455097,2015,2,4,1.428571429
455098,2015,2,4,1
455099,2015,2,4,1
455100,2015,2,4,1.833333333
455102,2015,2,4,1
455103,2015,2,4,NA
455104,2015,2,4,1
455105,2015,2,4,1.142857143
455106,2015,2,4,1.142857143
455107,2015,2,4,1.5
455108,2015,2,4,1
455109,2015,2,4,1.428571429
455110,2015,2,4,1
456001,2015,2,4,2.285714286
456002,2015,2,4,1
456003,2015,2,4,1.125
456004,2015,2,4,1.142857143
456005,2015,2,4,2.125
456007,2015,2,4,1.125
456008,2015,2,4,1.5
456009,2015,2,4,1
456010,2015,2,4,1
456011,2015,2,4,1
456012,2015,2,4,1
456013,2015,2,4,1
456014,2015,2,4,1
456015,2015,2,4,2.25
456016,2015,2,4,1.285714286
456017,2015,2,4,1.25
456018,2015,2,4,1
456019,2015,2,4,1.714285714
456020,2015,2,4,1
456022,2015,2,4,1
456023,2015,2,4,1.2
456024,2015,2,4,1
456025,2015,2,4,1
456026,2015,2,4,1
456027,2015,2,4,1.5
456028,2015,2,4,1
456029,2015,2,4,1
456030,2015,2,4,1.142857143
456031,2015,2,4,1
456032,2015,2,4,1.75
456033,2015,2,4,1
456034,2015,2,4,3
456035,2015,2,4,1
456037,2015,2,4,1
456038,2015,2,4,1
456039,2015,2,4,1
456040,2015,2,4,1.333333333
456041,2015,2,4,1
456042,2015,2,4,1
456044,2015,2,4,1
456045,2015,2,4,1
456046,2015,2,4,1
456047,2015,2,4,1.25
456048,2015,2,4,2
456049,2015,2,4,1.6
456050,2015,2,4,1.428571429
456052,2015,2,4,1.285714286
456053,2015,2,4,1
456054,2015,2,4,1
456056,2015,2,4,1
456057,2015,2,4,1
456058,2015,2,4,1
456059,2015,2,4,1
456060,2015,2,4,1.166666667
456062,2015,2,4,1
456063,2015,2,4,1.8
456064,2015,2,4,1.333333333
456065,2015,2,4,NA
456067,2015,2,4,2.2
456068,2015,2,4,1.285714286
456069,2015,2,4,1
456070,2015,2,4,1
456071,2015,2,4,1.571428571
456072,2015,2,4,1
456073,2015,2,4,1.666666667
456074,2015,2,4,1
456075,2015,2,4,3.666666667
456076,2015,2,4,1.75
456077,2015,2,4,1.75
456078,2015,2,4,1
456079,2015,2,4,1
456080,2015,2,4,1
456082,2015,2,4,1.75
456084,2015,2,4,1
456085,2015,2,4,1
456087,2015,2,4,1
456088,2015,2,4,1
456089,2015,2,4,1.166666667
456090,2015,2,4,1
456091,2015,2,4,1
456092,2015,2,4,NA
456093,2015,2,4,1.25
456094,2015,2,4,1.333333333
456095,2015,2,4,1
456101,2015,2,4,1
456102,2015,2,4,1.75
456103,2015,2,4,1.4
456105,2015,2,4,1.428571429
456106,2015,2,4,1.5
456107,2015,2,4,2.428571429
456109,2015,2,4,2.666666667
456110,2015,2,4,2
457002,2015,2,4,2
457003,2015,2,4,1.571428571
457004,2015,2,4,1
457005,2015,2,4,1
457006,2015,2,4,1.285714286
457007,2015,2,4,NA
457008,2015,2,4,1
457009,2015,2,4,2.142857143
457010,2015,2,4,1
457011,2015,2,4,1
457012,2015,2,4,1.571428571
457013,2015,2,4,1.875
457014,2015,2,4,1.428571429
457015,2015,2,4,1
457017,2015,2,4,1
457018,2015,2,4,1
457019,2015,2,4,1.428571429
457020,2015,2,4,1.8
457021,2015,2,4,1.428571429
457022,2015,2,4,1
457023,2015,2,4,1
457024,2015,2,4,1
457025,2015,2,4,1.285714286
457026,2015,2,4,1.2
457027,2015,2,4,1.571428571
457028,2015,2,4,1
457029,2015,2,4,1
457030,2015,2,4,1
457032,2015,2,4,1.333333333
457033,2015,2,4,1
457034,2015,2,4,1.428571429
457035,2015,2,4,1
457036,2015,2,4,1.666666667
457037,2015,2,4,1
457038,2015,2,4,1
457039,2015,2,4,1.285714286
457040,2015,2,4,1.571428571
457041,2015,2,4,1.5
457042,2015,2,4,1
457043,2015,2,4,1
457044,2015,2,4,2.25
457045,2015,2,4,2
457051,2015,2,4,1
457052,2015,2,4,1.125
457053,2015,2,4,1
457055,2015,2,4,1.285714286
457056,2015,2,4,1
457057,2015,2,4,1
457058,2015,2,4,1
457059,2015,2,4,1
455096,2015,2,5,1.333333333
455097,2015,2,5,1.857142857
455098,2015,2,5,1
455099,2015,2,5,1.125
455100,2015,2,5,3
455102,2015,2,5,1
455103,2015,2,5,NA
455104,2015,2,5,1
455105,2015,2,5,1
455106,2015,2,5,1.285714286
455107,2015,2,5,2
455108,2015,2,5,1
455109,2015,2,5,1.428571429
455110,2015,2,5,1
456001,2015,2,5,2.428571429
456002,2015,2,5,1
456003,2015,2,5,1.25
456004,2015,2,5,1.714285714
456005,2015,2,5,2.375
456007,2015,2,5,1
456008,2015,2,5,1.75
456009,2015,2,5,1.142857143
456010,2015,2,5,1.125
456011,2015,2,5,1
456012,2015,2,5,1
456013,2015,2,5,1
456014,2015,2,5,1
456015,2015,2,5,3.25
456016,2015,2,5,1.857142857
456017,2015,2,5,1.25
456018,2015,2,5,1.125
456019,2015,2,5,2.285714286
456020,2015,2,5,1
456022,2015,2,5,1
456023,2015,2,5,3.2
456024,2015,2,5,1
456025,2015,2,5,1
456026,2015,2,5,1
456027,2015,2,5,2.25
456028,2015,2,5,1
456029,2015,2,5,1
456030,2015,2,5,1.571428571
456031,2015,2,5,1
456032,2015,2,5,1.75
